2025-06-27 13:37:24.390 | INFO     | orchestrator.logging_config:__init__:33 | 1:140652316081024 | LoggingManager initialized
2025-06-27 13:37:24.391 | INFO     | orchestrator.logging_config:setup_logging:363 | 1:140652316081024 | Logging system configured successfully
2025-06-27 13:37:24.391 | INFO     | __main__:initialize_system:63 | 1:140652316081024 | System initialization started
2025-06-27 13:37:24.398 | INFO     | orchestrator.cache_manager:__init__:37 | 1:140652316081024 | CacheManager initialized
2025-06-27 13:37:24.398 | DEBUG    | orchestrator.cache_manager:connect:76 | 1:140652316081024 | Attempting Redis connection
2025-06-27 13:37:24.421 | INFO     | orchestrator.cache_manager:connect:86 | 1:140652316081024 | Connected to Redis successfully
2025-06-27 13:37:24.422 | INFO     | __main__:initialize_system:76 | 1:140652316081024 | Cache manager initialized successfully
2025-06-27 13:37:24.422 | INFO     | orchestrator.core:__init__:122 | 1:140652316081024 | OrchestrationEngine initialized
2025-06-27 13:37:24.422 | INFO     | __main__:initialize_system:97 | 1:140652316081024 | System initialization completed successfully
2025-06-27 13:37:24.423 | INFO     | __main__:run_test_session:107 | 1:140652316081024 | Starting test session
2025-06-27 13:37:24.423 | INFO     | orchestrator.core:execute_session:134 | 1:140652316081024 | Starting exploration session
2025-06-27 13:37:24.423 | DEBUG    | orchestrator.core:_create_context:182 | 1:140652316081024 | Creating session context
2025-06-27 13:37:24.423 | DEBUG    | orchestrator.core:_create_context:196 | 1:140652316081024 | Session context created successfully
2025-06-27 13:37:24.424 | DEBUG    | orchestrator.core:execute_session:145 | 1:140652316081024 | Session context created
2025-06-27 13:37:24.424 | INFO     | orchestrator.core:execute_session:155 | 1:140652316081024 | Session initialized successfully
2025-06-27 13:37:24.424 | INFO     | __main__:run_test_session:122 | 1:140652316081024 | Test session completed successfully
2025-06-27 13:37:24.426 | ERROR    | __main__:main:234 | 1:140652316081024 | Application failed
2025-06-27 13:37:24.427 | INFO     | __main__:cleanup_system:142 | 1:140652316081024 | Starting system cleanup
2025-06-27 13:37:24.428 | INFO     | orchestrator.cache_manager:disconnect:106 | 1:140652316081024 | Disconnected from Redis
