2025-06-27 15:23:52.081 | INFO     | __init__:62 | Agent initialized
2025-06-27 15:23:52.081 | DEBUG    | execute:35 | Starting normalization execution
2025-06-27 15:23:52.082 | INFO     | pre_execute:82 | Starting agent execution
2025-06-27 15:23:52.082 | DEBUG    | execute:45 | Checking cache for normalization result
2025-06-27 15:23:52.083 | DEBUG    | execute:60 | Validating input data
2025-06-27 15:23:52.083 | DEBUG    | execute:70 | Starting name normalization (fake mode)
2025-06-27 15:23:52.084 | DEBUG    | _normalize_name_fake:214 | Starting fake name normalization
2025-06-27 15:23:52.084 | DEBUG    | _normalize_name_fake:225 | Basic cleaning completed
2025-06-27 15:23:52.085 | DEBUG    | _normalize_name_fake:241 | Legal forms removed
2025-06-27 15:23:52.086 | DEBUG    | _normalize_name_fake:271 | Name normalization completed
2025-06-27 15:23:52.086 | DEBUG    | execute:78 | Name normalization completed
2025-06-27 15:23:52.086 | DEBUG    | execute:87 | Starting enterprise matching (fake mode)
2025-06-27 15:23:52.086 | DEBUG    | execute:95 | Enterprise matching completed
2025-06-27 15:23:52.087 | DEBUG    | execute:104 | Starting named entity extraction (fake mode)
2025-06-27 15:23:52.087 | DEBUG    | execute:112 | Named entity extraction completed
2025-06-27 15:23:52.088 | DEBUG    | execute:132 | Validating consolidated data
2025-06-27 15:23:52.088 | WARNING  | execute:141 | Data validation errors found
2025-06-27 15:23:52.089 | INFO     | execute:149 | Normalization execution successful
2025-06-27 15:23:52.089 | DEBUG    | execute:177 | Caching normalization result
2025-06-27 15:23:52.091 | INFO     | post_execute:101 | Agent execution completed
2025-06-27 15:23:52.091 | WARNING  | post_execute:114 | Agent execution had errors
2025-06-27 15:23:52.145 | INFO     | __init__:62 | Agent initialized
2025-06-27 15:23:52.146 | DEBUG    | execute:35 | Starting normalization execution
2025-06-27 15:23:52.147 | INFO     | pre_execute:82 | Starting agent execution
2025-06-27 15:23:52.147 | DEBUG    | execute:45 | Checking cache for normalization result
2025-06-27 15:23:52.148 | DEBUG    | execute:60 | Validating input data
2025-06-27 15:23:52.148 | DEBUG    | execute:70 | Starting name normalization (fake mode)
2025-06-27 15:23:52.149 | DEBUG    | _normalize_name_fake:214 | Starting fake name normalization
2025-06-27 15:23:52.149 | DEBUG    | _normalize_name_fake:225 | Basic cleaning completed
2025-06-27 15:23:52.150 | DEBUG    | _normalize_name_fake:241 | Legal forms removed
2025-06-27 15:23:52.150 | DEBUG    | _normalize_name_fake:271 | Name normalization completed
2025-06-27 15:23:52.150 | DEBUG    | execute:78 | Name normalization completed
2025-06-27 15:23:52.151 | DEBUG    | execute:87 | Starting enterprise matching (fake mode)
2025-06-27 15:23:52.151 | DEBUG    | execute:95 | Enterprise matching completed
2025-06-27 15:23:52.152 | DEBUG    | execute:104 | Starting named entity extraction (fake mode)
2025-06-27 15:23:52.152 | DEBUG    | execute:112 | Named entity extraction completed
2025-06-27 15:23:52.152 | DEBUG    | execute:132 | Validating consolidated data
2025-06-27 15:23:52.153 | WARNING  | execute:141 | Data validation errors found
2025-06-27 15:23:52.153 | INFO     | execute:149 | Normalization execution successful
2025-06-27 15:23:52.154 | DEBUG    | execute:177 | Caching normalization result
2025-06-27 15:23:52.155 | INFO     | post_execute:101 | Agent execution completed
2025-06-27 15:23:52.156 | WARNING  | post_execute:114 | Agent execution had errors
2025-06-27 15:23:52.165 | INFO     | __init__:62 | Agent initialized
2025-06-27 15:23:52.169 | DEBUG    | execute:35 | Starting normalization execution
2025-06-27 15:23:52.169 | INFO     | pre_execute:82 | Starting agent execution
2025-06-27 15:23:52.169 | DEBUG    | execute:45 | Checking cache for normalization result
2025-06-27 15:23:52.170 | DEBUG    | execute:60 | Validating input data
2025-06-27 15:23:52.171 | DEBUG    | execute:70 | Starting name normalization (fake mode)
2025-06-27 15:23:52.171 | DEBUG    | _normalize_name_fake:214 | Starting fake name normalization
2025-06-27 15:23:52.172 | DEBUG    | _normalize_name_fake:225 | Basic cleaning completed
2025-06-27 15:23:52.172 | DEBUG    | _normalize_name_fake:271 | Name normalization completed
2025-06-27 15:23:52.172 | DEBUG    | execute:78 | Name normalization completed
2025-06-27 15:23:52.173 | DEBUG    | execute:87 | Starting enterprise matching (fake mode)
2025-06-27 15:23:52.173 | DEBUG    | execute:95 | Enterprise matching completed
2025-06-27 15:23:52.173 | DEBUG    | execute:104 | Starting named entity extraction (fake mode)
2025-06-27 15:23:52.174 | DEBUG    | execute:112 | Named entity extraction completed
2025-06-27 15:23:52.174 | DEBUG    | execute:132 | Validating consolidated data
2025-06-27 15:23:52.174 | WARNING  | execute:141 | Data validation errors found
2025-06-27 15:23:52.175 | INFO     | execute:149 | Normalization execution successful
2025-06-27 15:23:52.175 | DEBUG    | execute:177 | Caching normalization result
2025-06-27 15:23:52.177 | INFO     | post_execute:101 | Agent execution completed
2025-06-27 15:23:52.178 | WARNING  | post_execute:114 | Agent execution had errors
2025-06-27 15:23:52.182 | DEBUG    | execute:35 | Starting normalization execution
2025-06-27 15:23:52.182 | INFO     | pre_execute:82 | Starting agent execution
2025-06-27 15:23:52.183 | DEBUG    | execute:45 | Checking cache for normalization result
2025-06-27 15:23:52.184 | DEBUG    | execute:60 | Validating input data
2025-06-27 15:23:52.184 | DEBUG    | execute:70 | Starting name normalization (fake mode)
2025-06-27 15:23:52.185 | DEBUG    | _normalize_name_fake:214 | Starting fake name normalization
2025-06-27 15:23:52.185 | DEBUG    | _normalize_name_fake:225 | Basic cleaning completed
2025-06-27 15:23:52.185 | DEBUG    | _normalize_name_fake:241 | Legal forms removed
2025-06-27 15:23:52.186 | DEBUG    | _normalize_name_fake:271 | Name normalization completed
2025-06-27 15:23:52.186 | DEBUG    | execute:78 | Name normalization completed
2025-06-27 15:23:52.186 | DEBUG    | execute:87 | Starting enterprise matching (fake mode)
2025-06-27 15:23:52.187 | DEBUG    | execute:95 | Enterprise matching completed
2025-06-27 15:23:52.187 | DEBUG    | execute:104 | Starting named entity extraction (fake mode)
2025-06-27 15:23:52.187 | DEBUG    | execute:112 | Named entity extraction completed
2025-06-27 15:23:52.188 | DEBUG    | execute:132 | Validating consolidated data
2025-06-27 15:23:52.188 | WARNING  | execute:141 | Data validation errors found
2025-06-27 15:23:52.188 | INFO     | execute:149 | Normalization execution successful
2025-06-27 15:23:52.189 | DEBUG    | execute:177 | Caching normalization result
2025-06-27 15:23:52.190 | INFO     | post_execute:101 | Agent execution completed
2025-06-27 15:23:52.190 | WARNING  | post_execute:114 | Agent execution had errors
2025-06-27 15:23:52.194 | DEBUG    | execute:35 | Starting normalization execution
2025-06-27 15:23:52.195 | INFO     | pre_execute:82 | Starting agent execution
2025-06-27 15:23:52.195 | DEBUG    | execute:45 | Checking cache for normalization result
2025-06-27 15:23:52.196 | DEBUG    | execute:60 | Validating input data
2025-06-27 15:23:52.196 | DEBUG    | execute:70 | Starting name normalization (fake mode)
2025-06-27 15:23:52.197 | DEBUG    | _normalize_name_fake:214 | Starting fake name normalization
2025-06-27 15:23:52.197 | DEBUG    | _normalize_name_fake:225 | Basic cleaning completed
2025-06-27 15:23:52.197 | DEBUG    | _normalize_name_fake:241 | Legal forms removed
2025-06-27 15:23:52.197 | DEBUG    | _normalize_name_fake:271 | Name normalization completed
2025-06-27 15:23:52.198 | DEBUG    | execute:78 | Name normalization completed
2025-06-27 15:23:52.198 | DEBUG    | execute:87 | Starting enterprise matching (fake mode)
2025-06-27 15:23:52.198 | DEBUG    | execute:95 | Enterprise matching completed
2025-06-27 15:23:52.198 | DEBUG    | execute:104 | Starting named entity extraction (fake mode)
2025-06-27 15:23:52.198 | DEBUG    | execute:112 | Named entity extraction completed
2025-06-27 15:23:52.199 | DEBUG    | execute:132 | Validating consolidated data
2025-06-27 15:23:52.199 | WARNING  | execute:141 | Data validation errors found
2025-06-27 15:23:52.200 | INFO     | execute:149 | Normalization execution successful
2025-06-27 15:23:52.200 | DEBUG    | execute:177 | Caching normalization result
2025-06-27 15:23:52.201 | INFO     | post_execute:101 | Agent execution completed
2025-06-27 15:23:52.202 | WARNING  | post_execute:114 | Agent execution had errors
2025-06-27 15:23:52.205 | DEBUG    | execute:35 | Starting normalization execution
2025-06-27 15:23:52.206 | INFO     | pre_execute:82 | Starting agent execution
2025-06-27 15:23:52.206 | DEBUG    | execute:45 | Checking cache for normalization result
2025-06-27 15:23:52.207 | DEBUG    | execute:60 | Validating input data
2025-06-27 15:23:52.207 | DEBUG    | execute:70 | Starting name normalization (fake mode)
2025-06-27 15:23:52.207 | DEBUG    | _normalize_name_fake:214 | Starting fake name normalization
2025-06-27 15:23:52.208 | DEBUG    | _normalize_name_fake:225 | Basic cleaning completed
