2025-06-27 14:19:11.117 | INFO     | orchestrator.logging_config:__init__:33 | 187:139737289284480 | LoggingManager initialized
2025-06-27 14:19:11.118 | INFO     | orchestrator.cache_manager:__init__:37 | 187:139737289284480 | CacheManager initialized
2025-06-27 14:19:11.118 | DEBUG    | orchestrator.cache_manager:connect:76 | 187:139737289284480 | Attempting Redis connection
2025-06-27 14:19:11.121 | INFO     | orchestrator.cache_manager:connect:86 | 187:139737289284480 | Connected to Redis successfully
2025-06-27 14:19:11.173 | INFO     | orchestrator.logging_config:__init__:33 | 187:139737289284480 | LoggingManager initialized
2025-06-27 14:19:11.174 | INFO     | orchestrator.cache_manager:__init__:37 | 187:139737289284480 | CacheManager initialized
2025-06-27 14:19:11.174 | DEBUG    | orchestrator.cache_manager:connect:76 | 187:139737289284480 | Attempting Redis connection
2025-06-27 14:19:11.177 | INFO     | orchestrator.cache_manager:connect:86 | 187:139737289284480 | Connected to Redis successfully
2025-06-27 14:19:11.207 | INFO     | orchestrator.logging_config:__init__:33 | 187:139737289284480 | LoggingManager initialized
2025-06-27 14:25:08.821 | INFO     | orchestrator.logging_config:__init__:33 | 245:139882903653248 | LoggingManager initialized
2025-06-27 14:25:08.822 | INFO     | orchestrator.cache_manager:__init__:37 | 245:139882903653248 | CacheManager initialized
2025-06-27 14:25:08.822 | DEBUG    | orchestrator.cache_manager:connect:76 | 245:139882903653248 | Attempting Redis connection
2025-06-27 14:25:08.825 | INFO     | orchestrator.cache_manager:connect:86 | 245:139882903653248 | Connected to Redis successfully
2025-06-27 14:25:08.877 | INFO     | orchestrator.logging_config:__init__:33 | 245:139882903653248 | LoggingManager initialized
2025-06-27 14:25:08.878 | INFO     | orchestrator.cache_manager:__init__:37 | 245:139882903653248 | CacheManager initialized
2025-06-27 14:25:08.878 | DEBUG    | orchestrator.cache_manager:connect:76 | 245:139882903653248 | Attempting Redis connection
2025-06-27 14:25:08.881 | INFO     | orchestrator.cache_manager:connect:86 | 245:139882903653248 | Connected to Redis successfully
2025-06-27 14:25:08.910 | INFO     | orchestrator.logging_config:__init__:33 | 245:139882903653248 | LoggingManager initialized
2025-06-27 14:27:12.745 | INFO     | orchestrator.logging_config:__init__:33 | 280:140505675770752 | LoggingManager initialized
2025-06-27 14:27:12.745 | INFO     | orchestrator.cache_manager:__init__:37 | 280:140505675770752 | CacheManager initialized
2025-06-27 14:27:12.745 | DEBUG    | orchestrator.cache_manager:connect:76 | 280:140505675770752 | Attempting Redis connection
2025-06-27 14:27:12.749 | INFO     | orchestrator.cache_manager:connect:86 | 280:140505675770752 | Connected to Redis successfully
2025-06-27 14:27:12.802 | INFO     | orchestrator.logging_config:__init__:33 | 280:140505675770752 | LoggingManager initialized
2025-06-27 14:27:12.802 | INFO     | orchestrator.cache_manager:__init__:37 | 280:140505675770752 | CacheManager initialized
2025-06-27 14:27:12.803 | DEBUG    | orchestrator.cache_manager:connect:76 | 280:140505675770752 | Attempting Redis connection
2025-06-27 14:27:12.806 | INFO     | orchestrator.cache_manager:connect:86 | 280:140505675770752 | Connected to Redis successfully
2025-06-27 14:27:12.835 | INFO     | orchestrator.logging_config:__init__:33 | 280:140505675770752 | LoggingManager initialized
2025-06-27 14:29:28.678 | INFO     | orchestrator.logging_config:__init__:33 | 309:140343098694528 | LoggingManager initialized
